State;East-West;The first most important problem;The second most important problem;Party;Gender;Age;Reasearch Year
Nordrhein-Westfalen;West;Unemployment/jobs;Environmental protection;CDU/CSU;Male;40-44;1998
Bayern;West;Unemployment/jobs;Morals/values;CDU/CSU;Female;60-69;1998
Bayern;West;Unemployment/jobs;Cutbacks of social benefits;PDS;Male;45-49;1998
Bayern;West;Unemployment/jobs;Taxes/tax increases;CDU/CSU;Male;45-49;1998
Niedersachsen;West;Unemployment/jobs;Foreigners;CDU/CSU;Female;50-59;1998
Niedersachsen;West;Unemployment/jobs;Health care/long-term care insurance;SPD;Female;50-59;1998
Bayern;West;Unemployment/jobs;Environmental protection;SPD;Male;30-34;1998
Nordrhein-Westfalen;West;Unemployment/jobs;Economic recovery/situation;No response;Male;35-39;1998
Bayern;West;Unemployment/jobs;EU/Europe/Euro;CDU/CSU;Male;45-49;1998
Rheinland-Pflaz;West;Unemployment/jobs;Wages/working time regulations;SPD;Male;30-34;1998
Baden-Württemberg;West;Unemployment/jobs;Unemployment/jobs;CDU/CSU;Female;60-69;1998
Hessen;West;Unemployment/jobs;Taxes/tax increases;No response;Female;30-34;1998
Nordrhein-Westfalen;West;Unemployment/jobs;No response;SPD;Female;50-59;1998
Nordrhein-Westfalen;West;Unemployment/jobs;Pensions/old people/old-age security;SPD;Male;70+;1998
Hessen;West;Unemployment/jobs;Taxes/tax increases;SPD;Male;35-39;1998
Berlin-West;West;Unemployment/jobs;Cutbacks of social benefits;SPD;Male;25-29;1998
Rheinland-Pflaz;West;Student protests/education;Unemployment/jobs;CDU/CSU;Male;21-24;1998
Nordrhein-Westfalen;West;Unemployment/jobs;Peace and order/crime;CDU/CSU;Male;70+;1998
Nordrhein-Westfalen;West;Unemployment/jobs;Economic recovery/situation;CDU/CSU;Male;35-39;1998
Nordrhein-Westfalen;West;Unemployment/jobs;Peace and order/crime;CDU/CSU;Female;21-24;1998
Baden-Württemberg;West;Student protests/education;Other problems;CDU/CSU;Female;25-29;1998
Baden-Württemberg;West;Unemployment/jobs;Family/children/youth;SPD;Female;35-39;1998
Bayern;West;Unemployment/jobs;No response;CDU/CSU;Male;21-24;1998
Niedersachsen;West;Unemployment/jobs;No response;SPD;Female;40-44;1998
Bayern;West;Unemployment/jobs;Family/children/youth;SPD;Female;35-39;1998
Baden-Württemberg;West;Unemployment/jobs;Pensions/old people/old-age security;FDP;Female;70+;1998
Bayern;West;Social gap between rich and poor;Taxes/tax increases;SPD;Male;45-49;1998
Schleswig-Holstein;West;Unemployment/jobs;Wages/working time regulations;CDU/CSU;Male;30-34;1998
Bayern;West;EU/Europe/Euro;Unemployment/jobs;CDU/CSU;Male;50-59;1998
Niedersachsen;West;Unemployment/jobs;Taxes/tax increases;No response;Female;50-59;1998
Rheinland-Pflaz;West;Unemployment/jobs;Foreigners;No response;Female;21-24;1998
Baden-Württemberg;West;Unemployment/jobs;Family/children/youth;SPD;Female;35-39;1998
Niedersachsen;West;Unemployment/jobs;Pensions/old people/old-age security;SPD;Male;35-39;1998
Baden-Württemberg;West;Unemployment/jobs;National debt;Another party;Female;50-59;1998
Niedersachsen;West;Disenchantment with political parties and politics/politics in general/political affairs;Unemployment/jobs;SPD;Male;50-59;1998
Nordrhein-Westfalen;West;Unemployment/jobs;Environmental protection;SPD;Female;35-39;1998
Rheinland-Pflaz;West;Unemployment/jobs;Foreigners;Grünen;Female;35-39;1998
Nordrhein-Westfalen;West;Unemployment/jobs;No response;No response;Female;70+;1998
Hessen;West;No response;No response;No response;Female;21-24;1998
Nordrhein-Westfalen;West;Unemployment/jobs;Health care/long-term care insurance;SPD;Female;50-59;1998
Niedersachsen;West;Unemployment/jobs;Foreigners;CDU/CSU;Male;60-69;1998
Bayern;West;Unemployment/jobs;Social gap between rich and poor;Grünen;Female;40-44;1998
Bayern;West;Unemployment/jobs;Family/children/youth;SPD;Female;35-39;1998
Schleswig-Holstein;West;Unemployment/jobs;Environmental protection;SPD;Male;45-49;1998
Hessen;West;Unemployment/jobs;Other problems;SPD;Female;50-59;1998
Saarland;West;Unemployment/jobs;Pensions/old people/old-age security;SPD;Male;60-69;1998
Bayern;West;Unemployment/jobs;Taxes/tax increases;SPD;Male;21-24;1998
Nordrhein-Westfalen;West;Family/children/youth;Peace and order/crime;SPD;Female;25-29;1998
Bayern;West;Unemployment/jobs;Health care/long-term care insurance;SPD;Female;35-39;1998
Niedersachsen;West;Foreigners;Peace and order/crime;CDU/CSU;Male;60-69;1998
Nordrhein-Westfalen;West;Unemployment/jobs;No response;SPD;Male;30-34;1998
Bayern;West;Foreigners;Taxes/tax increases;Republikaner;Female;25-29;1998
Baden-Württemberg;West;Cutbacks of social benefits;No response;No response;Female;25-29;1998
Hessen;West;Unemployment/jobs;Taxes/tax increases;SPD;Male;35-39;1998
Bayern;West;Unemployment/jobs;Pensions/old people/old-age security;CDU/CSU;Female;70+;1998
Baden-Württemberg;West;Unemployment/jobs;Taxes/tax increases;SPD;Male;45-49;1998
Bayern;West;Taxes/tax increases;Cutbacks of social benefits;SPD;Male;70+;1998
Saarland;West;Taxes/tax increases;Peace and order/crime;CDU/CSU;Female;50-59;1998
Bayern;West;Unemployment/jobs;Foreigners;SPD;Male;60-69;1998
Nordrhein-Westfalen;West;Unemployment/jobs;Economic recovery/situation;CDU/CSU;Female;45-49;1998
Hessen;West;Unemployment/jobs;Foreigners;SPD;Female;35-39;1998
Nordrhein-Westfalen;West;Peace and order/crime;Unemployment/jobs;SPD;Female;50-59;1998
Bayern;West;Unemployment/jobs;Family/children/youth;CDU/CSU;Female;30-34;1998
Baden-Württemberg;West;Unemployment/jobs;Taxes/tax increases;FDP;Female;70+;1998
Nordrhein-Westfalen;West;Taxes/tax increases;Pensions/old people/old-age security;No response;Female;70+;1998
Nordrhein-Westfalen;West;Unemployment/jobs;Peace and order/crime;CDU/CSU;Female;60-69;1998
Bayern;West;Unemployment/jobs;Foreigners;CDU/CSU;Male;60-69;1998
Bremen;West;Unemployment/jobs;No response;CDU/CSU;Female;35-39;1998
Baden-Württemberg;West;Unemployment/jobs;Pensions/old people/old-age security;CDU/CSU;Male;50-59;1998
Niedersachsen;West;Unemployment/jobs;Health care/long-term care insurance;No response;Female;30-34;1998
Niedersachsen;West;Unemployment/jobs;Taxes/tax increases;SPD;Female;25-29;1998
Baden-Württemberg;West;Unemployment/jobs;Taxes/tax increases;No response;Female;60-69;1998
Berlin-West;West;Unemployment/jobs;Cutbacks of social benefits;Grünen;Female;35-39;1998
Schleswig-Holstein;West;Unemployment/jobs;Family/children/youth;No response;Female;45-49;1998
Nordrhein-Westfalen;West;Unemployment/jobs;Family/children/youth;SPD;Female;35-39;1998
Hessen;West;Unemployment/jobs;Foreigners;FDP;Male;50-59;1998
Niedersachsen;West;Unemployment/jobs;Economic recovery/situation;FDP;Male;40-44;1998
Saarland;West;Health care/long-term care insurance;Family/children/youth;SPD;Female;60-69;1998
Nordrhein-Westfalen;West;Unemployment/jobs;Environmental protection;SPD;Female;30-34;1998
Nordrhein-Westfalen;West;Disenchantment with political parties and politics/politics in general/political affairs;No response;Grünen;Female;25-29;1998
Hessen;West;Unemployment/jobs;Pensions/old people/old-age security;CDU/CSU;Male;70+;1998
Saarland;West;Unemployment/jobs;Taxes/tax increases;SPD;Male;50-59;1998
Nordrhein-Westfalen;West;Unemployment/jobs;No response;No response;Male;21-24;1998
Nordrhein-Westfalen;West;Disenchantment with political parties and politics/politics in general/political affairs;No response;SPD;Male;35-39;1998
Nordrhein-Westfalen;West;Unemployment/jobs;No response;Another party;Male;25-29;1998
Hamburg;West;Unemployment/jobs;National debt;No response;Male;25-29;1998
Nordrhein-Westfalen;West;Unemployment/jobs;Cutbacks of social benefits;No response;Male;70+;1998
Rheinland-Pflaz;West;Health care/long-term care insurance;Unemployment/jobs;SPD;Male;40-44;1998
Niedersachsen;West;Peace and order/crime;Family/children/youth;SPD;Male;60-69;1998
Baden-Württemberg;West;Unemployment/jobs;National debt;SPD;Male;40-44;1998
Baden-Württemberg;West;Unemployment/jobs;Student protests/education;Grünen;Male;35-39;1998
Nordrhein-Westfalen;West;Unemployment/jobs;Wages/working time regulations;No response;Female;25-29;1998
Baden-Württemberg;West;Unemployment/jobs;Taxes/tax increases;SPD;Male;35-39;1998
Nordrhein-Westfalen;West;Unemployment/jobs;Economic recovery/situation;No response;Male;45-49;1998
Bayern;West;Unemployment/jobs;Peace and order/crime;SPD;Female;50-59;1998
Bayern;West;Unemployment/jobs;Peace and order/crime;SPD;Female;70+;1998
Niedersachsen;West;Unemployment/jobs;Taxes/tax increases;SPD;Male;30-34;1998
Bayern;West;No response;No response;No response;Male;50-59;1998
Hessen;West;Unemployment/jobs;Pensions/old people/old-age security;No response;Male;70+;1998
Baden-Württemberg;West;Unemployment/jobs;Foreigners;SPD;Female;25-29;1998
Niedersachsen;West;Unemployment/jobs;Taxes/tax increases;CDU/CSU;Male;60-69;1998
Schleswig-Holstein;West;Unemployment/jobs;Taxes/tax increases;SPD;Female;40-44;1998
Bayern;West;Unemployment/jobs;Student protests/education;SPD;Female;40-44;1998
Bayern;West;Unemployment/jobs;Taxes/tax increases;CDU/CSU;Male;45-49;1998
Nordrhein-Westfalen;West;Unemployment/jobs;Right-wing radicals/right-wing extremists;SPD;Male;35-39;1998
Baden-Württemberg;West;Unemployment/jobs;Health care/long-term care insurance;No response;Female;60-69;1998
Hessen;West;Unemployment/jobs;Nuclear energy/nuclear transport;SPD;Female;35-39;1998
Nordrhein-Westfalen;West;Unemployment/jobs;Foreigners;No response;Male;60-69;1998
Nordrhein-Westfalen;West;Unemployment/jobs;Right-wing radicals/right-wing extremists;CDU/CSU;Female;60-69;1998
Nordrhein-Westfalen;West;Disenchantment with political parties and politics/politics in general/political affairs;Unemployment/jobs;SPD;Female;70+;1998
Niedersachsen;West;Unemployment/jobs;Cutbacks of social benefits;SPD;Female;50-59;1998
Baden-Württemberg;West;Unemployment/jobs;Pensions/old people/old-age security;No response;Female;70+;1998
Niedersachsen;West;Unemployment/jobs;Taxes/tax increases;SPD;Male;50-59;1998
Baden-Württemberg;West;Unemployment/jobs;No response;SPD;Male;50-59;1998
Nordrhein-Westfalen;West;Unemployment/jobs;Taxes/tax increases;CDU/CSU;Female;25-29;1998
Hessen;West;Wages/working time regulations;No response;SPD;Male;21-24;1998
Nordrhein-Westfalen;West;Unemployment/jobs;Economic recovery/situation;SPD;Male;30-34;1998
Baden-Württemberg;West;Unemployment/jobs;Environmental protection;SPD;Female;35-39;1998
Hessen;West;Unemployment/jobs;Peace and order/crime;FDP;Female;60-69;1998
Niedersachsen;West;Unemployment/jobs;Unemployment/jobs;SPD;Female;21-24;1998
Hessen;West;Unemployment/jobs;Economic gap between East Germany and West Germany;CDU/CSU;Male;25-29;1998
Rheinland-Pflaz;West;Unemployment/jobs;Cutbacks of social benefits;CDU/CSU;Female;70+;1998
Niedersachsen;West;Unemployment/jobs;Taxes/tax increases;No response;Female;70+;1998
Rheinland-Pflaz;West;Unemployment/jobs;Taxes/tax increases;No response;Male;45-49;1998
Nordrhein-Westfalen;West;Unemployment/jobs;Environmental protection;SPD;Male;30-34;1998
Nordrhein-Westfalen;West;Unemployment/jobs;Taxes/tax increases;No response;Male;60-69;1998
Nordrhein-Westfalen;West;Unemployment/jobs;Peace and order/crime;SPD;Male;30-34;1998
Nordrhein-Westfalen;West;Unemployment/jobs;Taxes/tax increases;SPD;Female;25-29;1998
Baden-Württemberg;West;Unemployment/jobs;Other problems;No response;Male;40-44;1998
Bayern;West;Unemployment/jobs;Cutbacks of social benefits;SPD;Female;60-69;1998
Nordrhein-Westfalen;West;Unemployment/jobs;Family/children/youth;CDU/CSU;Female;70+;1998
Hamburg;West;Unemployment/jobs;Peace and order/crime;No response;Male;35-39;1998
Baden-Württemberg;West;No response;No response;SPD;Male;18-20;1998
Hessen;West;Pensions/old people/old-age security;Economic recovery/situation;No response;Male;21-24;1998
Rheinland-Pflaz;West;Unemployment/jobs;Taxes/tax increases;SPD;Male;60-69;1998
Baden-Württemberg;West;Unemployment/jobs;Pensions/old people/old-age security;No response;Male;30-34;1998
Niedersachsen;West;Unemployment/jobs;Economic recovery/situation;CDU/CSU;Male;35-39;1998
Niedersachsen;West;Unemployment/jobs;Cutbacks of social benefits;SPD;Male;25-29;1998
Bayern;West;Unemployment/jobs;Peace and order/crime;SPD;Male;40-44;1998
Nordrhein-Westfalen;West;Unemployment/jobs;Taxes/tax increases;No response;Female;50-59;1998
Rheinland-Pflaz;West;Unemployment/jobs;No response;No response;Female;60-69;1998
Rheinland-Pflaz;West;No response;No response;No response;Female;35-39;1998
Berlin-West;West;Unemployment/jobs;Cutbacks of social benefits;CDU/CSU;Female;40-44;1998
Nordrhein-Westfalen;West;Unemployment/jobs;Peace and order/crime;CDU/CSU;Female;30-34;1998
Nordrhein-Westfalen;West;Cost of living/inflation/prices;No response;No response;Male;25-29;1998
Rheinland-Pflaz;West;Unemployment/jobs;Morals/values;No response;Female;30-34;1998
Nordrhein-Westfalen;West;Unemployment/jobs;No response;CDU/CSU;Male;35-39;1998
Baden-Württemberg;West;Unemployment/jobs;Family/children/youth;No response;Female;40-44;1998
Nordrhein-Westfalen;West;Unemployment/jobs;Cutbacks of social benefits;SPD;Male;40-44;1998
Berlin-West;West;Unemployment/jobs;German unit: problems/financing;FDP;Male;60-69;1998
Baden-Württemberg;West;Unemployment/jobs;Environmental protection;FDP;Female;70+;1998
Bayern;West;No response;No response;SPD;Female;30-34;1998
Baden-Württemberg;West;Unemployment/jobs;Environmental protection;FDP;Female;18-20;1998
Bayern;West;Unemployment/jobs;National debt;SPD;Male;35-39;1998
Hessen;West;Unemployment/jobs;Taxes/tax increases;CDU/CSU;Male;30-34;1998
Niedersachsen;West;Unemployment/jobs;Unemployment/jobs;SPD;Male;35-39;1998
Bayern;West;Unemployment/jobs;EU/Europe/Euro;CDU/CSU;Male;30-34;1998
Hamburg;West;Unemployment/jobs;Environmental protection;CDU/CSU;Female;30-34;1998
Nordrhein-Westfalen;West;Unemployment/jobs;Peace and order/crime;SPD;Female;40-44;1998
Baden-Württemberg;West;Unemployment/jobs;Peace and order/crime;CDU/CSU;Female;50-59;1998
Hessen;West;Unemployment/jobs;Peace and order/crime;Grünen;Female;70+;1998
Nordrhein-Westfalen;West;Unemployment/jobs;Economic recovery/situation;SPD;Female;30-34;1998
Niedersachsen;West;Unemployment/jobs;Health care/long-term care insurance;SPD;Male;40-44;1998
Bayern;West;Unemployment/jobs;No response;FDP;Male;70+;1998
Bayern;West;Unemployment/jobs;Pensions/old people/old-age security;SPD;Male;25-29;1998
Niedersachsen;West;Unemployment/jobs;No response;SPD;Female;21-24;1998
Nordrhein-Westfalen;West;Unemployment/jobs;No response;SPD;Female;70+;1998
Baden-Württemberg;West;Unemployment/jobs;Peace and order/crime;CDU/CSU;Male;70+;1998
Hessen;West;Unemployment/jobs;No response;CDU/CSU;Female;45-49;1998
Bayern;West;Unemployment/jobs;Foreigners;SPD;Male;18-20;1998
Baden-Württemberg;West;EU/Europe/Euro;Unemployment/jobs;CDU/CSU;Female;40-44;1998
Nordrhein-Westfalen;West;Unemployment/jobs;Other problems;Grünen;Male;35-39;1998
Saarland;West;Unemployment/jobs;Disenchantment with political parties and politics/politics in general/political affairs;CDU/CSU;Female;60-69;1998
Nordrhein-Westfalen;West;Unemployment/jobs;Social gap between rich and poor;SPD;Male;70+;1998
Nordrhein-Westfalen;West;Unemployment/jobs;Unemployment/jobs;SPD;Male;40-44;1998
Baden-Württemberg;West;Unemployment/jobs;Pensions/old people/old-age security;Republikaner;Male;45-49;1998
Nordrhein-Westfalen;West;Unemployment/jobs;Foreigners;Grünen;Female;18-20;1998
Nordrhein-Westfalen;West;Unemployment/jobs;Pensions/old people/old-age security;CDU/CSU;Male;70+;1998
Niedersachsen;West;Unemployment/jobs;No response;SPD;Female;40-44;1998
Niedersachsen;West;Unemployment/jobs;Cutbacks of social benefits;Grünen;Female;50-59;1998
Niedersachsen;West;Unemployment/jobs;Environmental protection;Grünen;Female;35-39;1998
Rheinland-Pflaz;West;Unemployment/jobs;Other problems;SPD;Male;35-39;1998
Niedersachsen;West;National debt;Pensions/old people/old-age security;SPD;Male;50-59;1998
Bayern;West;Unemployment/jobs;Social gap between rich and poor;SPD;Female;40-44;1998
Hessen;West;Unemployment/jobs;Peace and order/crime;No response;Female;60-69;1998
Niedersachsen;West;Peace and order/crime;No response;SPD;Female;70+;1998
Nordrhein-Westfalen;West;Social gap between rich and poor;EU/Europe/Euro;SPD;Female;60-69;1998
Nordrhein-Westfalen;West;Unemployment/jobs;No response;No response;Female;21-24;1998
Schleswig-Holstein;West;Unemployment/jobs;Pensions/old people/old-age security;SPD;Male;35-39;1998
Berlin-West;West;Unemployment/jobs;Student protests/education;Grünen;Male;50-59;1998
Rheinland-Pflaz;West;Unemployment/jobs;No response;SPD;Male;40-44;1998
Hessen;West;Unemployment/jobs;Cutbacks of social benefits;No response;Male;50-59;1998
Bayern;West;Foreigners;Taxes/tax increases;No response;Female;25-29;1998
Bayern;West;Taxes/tax increases;No response;No response;Male;21-24;1998
Niedersachsen;West;No response;No response;No response;Male;70+;1998
Nordrhein-Westfalen;West;Unemployment/jobs;Economic recovery/situation;FDP;Male;21-24;1998
Nordrhein-Westfalen;West;Unemployment/jobs;No response;SPD;Male;50-59;1998
Bayern;West;No response;No response;No response;Female;40-44;1998
Bayern;West;Unemployment/jobs;Taxes/tax increases;SPD;Female;25-29;1998
Bayern;West;Unemployment/jobs;Disenchantment with political parties and politics/politics in general/political affairs;CDU/CSU;Male;70+;1998
Baden-Württemberg;West;Morals/values;Pensions/old people/old-age security;SPD;Male;70+;1998
Nordrhein-Westfalen;West;Unemployment/jobs;Taxes/tax increases;No response;Female;45-49;1998
Nordrhein-Westfalen;West;Disenchantment with political parties and politics/politics in general/political affairs;Unemployment/jobs;Grünen;Male;25-29;1998
Niedersachsen;West;Unemployment/jobs;Family/children/youth;No response;Female;60-69;1998
Niedersachsen;West;Unemployment/jobs;No response;SPD;Male;40-44;1998
Niedersachsen;West;Peace and order/crime;Unemployment/jobs;SPD;Male;30-34;1998
Baden-Württemberg;West;Unemployment/jobs;Health care/long-term care insurance;CDU/CSU;Female;70+;1998
Bayern;West;National debt;Unemployment/jobs;CDU/CSU;Male;50-59;1998
Bayern;West;Unemployment/jobs;Social gap between rich and poor;No response;Female;40-44;1998
Rheinland-Pflaz;West;Unemployment/jobs;No response;CDU/CSU;Male;21-24;1998
Schleswig-Holstein;West;Unemployment/jobs;Peace and order/crime;SPD;Female;70+;1998
Bayern;West;Unemployment/jobs;Morals/values;CDU/CSU;Female;70+;1998
Schleswig-Holstein;West;Unemployment/jobs;Asylum seekers/asylum seekers;No response;Female;40-44;1998
Nordrhein-Westfalen;West;Unemployment/jobs;Economic recovery/situation;Grünen;Female;18-20;1998
